valor_original,apariciones,propuesta_canonica,nivel,padre,confianza,DUDOSO
"D.O. Tierra De Leon, Apostando Por El Desarrollo De Las Variedades Autóctonas,",7,,,,,TRUE
Rioja De Parcela,7,,,,,TRUE
D.O.P. Jerez,7,Jerez-Xérès-Sherry,do,Andalucía,BAJA,
Vinos Son Fruto De Un Gran Esfuerzo,7,,,,,TRUE
Pouilly Fumé,7,Pouilly-Fumé,do,Valle del Loira,BAJA,
D.O. Jumilla,7,Jumilla,do,,BAJA,
D.O. Bizkaiko Txakolina,6,,,,,TRUE
Tierra De Castilla,6,,,,,TRUE
Vinos De Castilla Y Leon,6,,,,,TRUE
ANDALUCÍA,6,Andalucía,region,,BAJA,
D.O. Italia,6,Italia,pais,,BAJA,
Cigales,6,Cigales,do,Castilla y León,BAJA,
D.O. Ribera Del Guadiana,6,Ribera del Guadiana,do,,BAJA,
Corton Grancey,6,,,,,TRUE
Eeuu,5,,,,,TRUE
Château Doisy Vedrines,5,,,,,TRUE
- Argentina -,5,Argentina,pais,,BAJA,
D.o.c Rioja,5,Rioja,do,,BAJA,
Jerez,5,Jerez-Xérès-Sherry,do,Andalucía,BAJA,
A.o.c Champagne Maison,5,,,,,TRUE
A.o.c Champagne Vignerons,5,,,,,TRUE
D.O.P. Arabako Txacolina,5,,,,,TRUE
Priorato,5,,,,,TRUE
- ARGENTINA -,5,Argentina,pais,,BAJA,
Marche,5,Marcas,region,,BAJA,
Bio,5,,,,,TRUE
Auvergne,5,Auvergne,region,Francia,BAJA,
Domaines Ott,5,,,,,TRUE
Liguria,5,Liguria,region,,BAJA,
Inglaterra,4,,,,,TRUE
D.O. Monterrei,4,Monterrei,do,Galicia,BAJA,
D.o.sierras De Málaga,4,Sierras de Málaga,do,Andalucía,BAJA,
D.O. Yecla,4,Yecla,do,,BAJA,
GALICIA,4,Galicia,region,,BAJA,
Monsant,4,,,,,TRUE
Trebujena,4,,,,,TRUE
BAS ARMAGNAC,4,,,,,TRUE
GRAPPA CRU MONOVITIGNO,4,,,,,TRUE
D.O. Nueva Zelanda,4,Nueva Zelanda,pais,,BAJA,
Molise,4,Molise,region,,BAJA,
L.g.p Vinos De La Tierra De Cadiz,4,,,,,TRUE
Real Divisa,4,,,,,TRUE
Ardèche,4,,,,,TRUE
Uruguay,3,Uruguay,pais,,BAJA,
Rioja De Pueblo,3,,,,,TRUE
Jumilla De Pueblo,3,,,,,TRUE
Priorat,3,Priorat,do,Cataluña,BAJA,
Vinos De Alicante,3,,,,,TRUE
D.O. Manchuela,3,Manchuela,do,,BAJA,
Granada,3,,,,,TRUE
Valdeorras,3,Valdeorras,do,Galicia,BAJA,
Gomariz (sin D.o.),3,,,,,TRUE
RIAS BAIXAS,3,Rías Baixas,do,Galicia,BAJA,
ORUJOS,3,,,,,TRUE
Coteaux Champenois,3,,,,,TRUE
D.O. Cigales,3,Cigales,do,Castilla y León,BAJA,
D.O.P. Cariñena,3,Cariñena,do,Aragón,BAJA,
Famille Lahiteau,3,,,,,TRUE
CALVADOS DU PAYS D'AUGE,2,,,,,TRUE
D.O. Penedes,2,Penedès,do,Cataluña,BAJA,
- Alsacia -,2,Alsacia,do,Francia,BAJA,
"Patagonia, Argentina",2,,,,,TRUE
BRANDY,2,,,,,TRUE
Cadiz,2,,,,,TRUE
Sierra Salamanca,2,,,,,TRUE
Rioja S/do,2,,,,,TRUE
Bizkaiko Txacolina,2,,,,,TRUE
Mendoza,2,Mendoza,region,,BAJA,
Saint Emilion,2,Saint-Émilion,do,Bordeaux,BAJA,
Dao,2,Dão,do,,BAJA,
Vino de la Tierra Castilla Y Leon,2,,,,,TRUE
Rías Baixas,2,Rías Baixas,do,Galicia,BAJA,
I.G.P. Valdejalón,2,,,,,TRUE
- Borgoña -,2,Borgoña,do,Francia,BAJA,
D.O. Sudáfrica,2,Sudáfrica,pais,,BAJA,
Gipuzkoa,2,,,,,TRUE
Vino Blanco Seco,2,,,,,TRUE
Suiza,2,,,,,TRUE
Bebidas->4,1,,,,,TRUE
Ùe Monovitigno,1,,,,,TRUE
Chardonnay Rubicone Igp,1,,,,,TRUE
Vino de la Tierra Andalucia,1,,,,,TRUE
Vino de la Tierra Castilla León,1,,,,,TRUE
D.O. Calatayud,1,,,,,TRUE
