nombre,apariciones,bodega_real
Chº la Conseillante 2019,1,
Chº Gloria2015c. B,1,
Chº Margaux20101º Cru C,1,
Chº les Carmes Haut-Brion 2018,1,
Blason D’issan20192º Vino,1,
Chº Margaux20141º Cru C,1,
Chº Malescot-Saint-Exupéry20193º Cru C,1,
Chº Pape Clément Blanc2021g. Cru C,1,
Ch.la Gaffeliere20221º G.cru C,1,
Chº Rocheyron2018g. Cru,1,
Chº Rauzan-Ségla20102º Cru C,1,
Chº Pape Clément2019g. Cru C,1,
Chº Mouton-Rothschild20091º Cru C,1,
Chº Pavie20091º G.cru C.a,1,
Chº Latour20091º Cru C,1,
Chº Gazin 2009,1,
Chº la Mission Haut-Brion2009c. C,1,
Pavillon Rouge du Chº Margaux20092º Vino,1,
Chº Ausone20101º G.cru C.a,1,
Chº Haut-Brion20091º Cru C,1,
Chº Pavie20101º G.cru C.a,1,
Chº de Valandraud20101º G.cru C,1,
Le Petit Cheval20102º Vino,1,
La Chapelle D’ausone20112º Vino,1,
Chº Lafite-Rothschild20111º Cru C,1,
Chº Duhart-Milon20114º Cru C,1,
Petrus 2008,1,
Petrus 2007,1,
Petrus 2006,1,
Petrus 2011,1,
Petrus 2009,1,
Chº Haut-Brion20131º Cru C,1,
Chº la Mission Haut-Brion2011c. C,1,
Chº Cos D’ournel20132º Cru C,1,
Chº Haut-Brion Blanc20121º Cru C,1,
Chº Haut-Brion20111º Cru C,1,
Chº L’evangile 2012,1,
Le Petit Mouton20142º Vino,1,
Chº Cos-Labory20145º Cru C,1,
Carruades de Lafite20122º Vino,1,
Chº Beychevelle20134º Cru C,1,
Chº Prieure-Lichine20124º Cru C,1,
Petrus 2013,1,
Petrus 2012,1,
Chº Lafite-Rothschild20141º Cru C,1,
Chº Smith Haut Lafitte Blanc2014g. Cru C,1,
Chº Rauzan-Ségla20152º Cru C,1,
Carruades de Lafite20152º Vino,1,
Domaine Chevalier2014c. C,1,
Chº Calon Ségur20153º Cru C,1,
Chº L’evangile 2014,1,
La Chapelle D’ausone20142º Vino,1,
Chº Smith Haut Lafitte Blanc2015g. Cru C,1,
Le Pin 2014,1,
Chº Cos-Labory20165º Cru C,1,
Chº Prieure-Lichine20154º Cru C,1,
Chº Talbot20164º Cru C,1,
Pavillon Rouge du Chº Margaux20142º Vino,1,
Petrus 2014,1,
Petrus 2015,1,
Chº Monbousquet2016g. Cru C,1,
Chº la Lagune20163º Cru C,1,
Chº la Mission Hb Blanc2016c. C,1,
Chº Margaux20081º Cru C,1,
Vieux Chº Certan 2016,1,
Chº D’issan20163º Cru C,1,
Chº Haut-Brion20161º Cru C,1,
Chº Giscours20163º Cru C,1,
Chº la Mondotte20161º G.cru C,1,
Chº la Mission Haut-Brion2016c. C,1,
Pavillon Rouge du Chº Margaux20162º Vino,1,
Chº de Valandraud20161º G.cru C,1,
Petrus 2016,1,
Chº Gazin 2017,1,
Chº Lafite-Rothschild20171º Cru C,1,
Chº Haut-Brion Blanc20171º Cru C,1,
Chº Calon Ségur20173º Cru C,1,
Chº Haut-Brion20171º Cru C,1,
Chº Prieure-Lichine20174º Cru C,1,
Chº Montrose20172º Cru C,1,
Chº Duhart-Milon20174º Cru C,1,
Chº Grand-Puy-Lacoste20175º Cru C,1,
Chº L’evangile 2018,1,
Le Clarence de Haut Brion20172º Vino,1,
Chº le Bon Pasteur 2018,1,
Chº Gazin 2018,1,
Vieux Chº Certan 2018,1,
Chº Ducru Beaucaillou20172º Cru C,1,
Chº la Mondotte20181º G.cru C,1,
Chº la Conseillante 2018,1,
Chº Ausone20181º G.cru C.a,1,
Le Petit Mouton20172º Vino,1,
