valor_original,propuesta_canonica,grupo_id,apariciones,confianza,DUDOSO
Selección Chante-Alouette,Selección Chante-Alouette,796,1,BAJA,
Selección Banyuls,Selección Banyuls,797,1,BAJA,
PIERRE GIMONNET,PIERRE GIMONNET,798,1,BAJA,
E-Chenin,E-Chenin,799,1,BAJA,
VIÑEDOS DEL JORCO,VIÑEDOS DEL JORCO,800,1,BAJA,
Chablis Fourchaume20241,Chablis Fourchaume20241,801,1,BAJA,
Chablis Mont de Milieu20231,Chablis Mont de Milieu20231,802,1,BAJA,
Sara,Sara,803,1,BAJA,
Viariz,Viariz,804,1,BAJA,
Bodegas San Alejandro,Bodegas San Alejandro,805,1,BAJA,
Marc Soyard - Domaine de la Cras,Marc Soyard - Domaine de la Cras,806,1,BAJA,
Palmer & Co,Palmer & Co,807,1,BAJA,
Domaine Jean-Jacques Confuron,Domaine Jean-Jacques Confuron,808,1,BAJA,
Pierre Paillard,Pierre Paillard,809,1,BAJA,
Gramona,Gramona,810,1,BAJA,
Pulenta Estate,Pulenta Estate,811,1,BAJA,
Ferret,Ferret,812,1,BAJA,
Bodegas Naia,Bodegas Naia,813,1,BAJA,
Matulan,Matulan,814,1,BAJA,
Remirez de Ganuza,Remirez de Ganuza,815,1,BAJA,
Jose Antonio Garcia,Jose Antonio Garcia,816,1,BAJA,
Ferrer Bobet,Ferrer Bobet,817,1,BAJA,
El Buscador,El Buscador,818,1,BAJA,
Chablis Montmains Bio20201,Chablis Montmains Bio20201,819,1,BAJA,
Domaine Combier,Domaine Combier,820,1,BAJA,
Bourgogne Chardonnay,Bourgogne Chardonnay,821,1,BAJA,
Crémant Brut Rosé,Crémant Brut Rosé,822,1,BAJA,
Ch.Haut-Batailley2019G. Cru,Ch.Haut-Batailley2019G. Cru,823,1,BAJA,
Auxerrois,Auxerrois,824,1,BAJA,
Petit Chablis Bio,Petit Chablis Bio,825,1,BAJA,
Gaizka,Gaizka,826,1,BAJA,
Pago de Carraovejas,Pago de Carraovejas,827,1,BAJA,
Chivite,Chivite,828,1,BAJA,
Valdespino,Valdespino,829,1,BAJA,
Domaine Pinson,Domaine Pinson,830,1,BAJA,
Recaredo,Recaredo,831,1,BAJA,
Rafael Palacios,Rafael Palacios,832,1,BAJA,
La Rioja Alta,La Rioja Alta,833,1,BAJA,
Hidalgo,Hidalgo,834,1,BAJA,
Giovanni Rosso,Giovanni Rosso,835,1,BAJA,
MAURODOS,MAURODOS,836,1,BAJA,
4 MONOS VITICULTORES,4 MONOS VITICULTORES,837,1,BAJA,
9 MONOS VITICULTORES,9 MONOS VITICULTORES,838,1,BAJA,
8 MONOS VITICULTORES,8 MONOS VITICULTORES,839,1,BAJA,
6 MONOS VITICULTORES,6 MONOS VITICULTORES,840,1,BAJA,
AGRICOLA CASTELLA,AGRICOLA CASTELLA,841,1,BAJA,
Domaine Confuron Gindre - Vosne-Romanée,Domaine Confuron Gindre - Vosne-Romanée,842,1,BAJA,
Viñas de Gain Blanco,Viñas de Gain Blanco,843,1,BAJA,
Yannick Meckert - Alsace,Yannick Meckert - Alsace,844,1,BAJA,
Bertrand Sourdais - Domaine de Pallus,Bertrand Sourdais - Domaine de Pallus,845,1,BAJA,
MARISA CUOMO,MARISA CUOMO,846,1,BAJA,
Norte,Norte,847,1,BAJA,
Cisma,Cisma,848,1,BAJA,
Ch. La Fleur-Pétrus,Ch. La Fleur-Pétrus,849,1,BAJA,
Urziger Wurzgarten2023S,Urziger Wurzgarten2023S,850,1,BAJA,
MONTLOUIS-SUR-LOIRE (DOMAINE TAILLE AUX LOUPS),MONTLOUIS-SUR-LOIRE (DOMAINE TAILLE AUX LOUPS),851,1,BAJA,
Espérance Trotanoy,Espérance Trotanoy,852,1,BAJA,
Ch.Magdelaine20091,Ch.Magdelaine20091,853,1,BAJA,
Contrada Stella,Contrada Stella,854,1,BAJA,
Cuvée Beau Rivage de,Cuvée Beau Rivage de,855,1,BAJA,
Annonce Bélair-Monange2022G. Cru,Annonce Bélair-Monange2022G. Cru,856,1,BAJA,
Gew. Grains Nobles,Gew. Grains Nobles,857,1,BAJA,
Pinot Gris Vendage Tardive,Pinot Gris Vendage Tardive,858,1,BAJA,
Champagne du Goupil,Champagne du Goupil,859,1,BAJA,
ADEGA DO MOUCHO,ADEGA DO MOUCHO,860,1,BAJA,
Convento San Fco. Selección,Convento San Fco. Selección,861,1,BAJA,
La Zapatera,La Zapatera,862,1,BAJA,
COTA 46,COTA 46,863,1,BAJA,
Selección LBV Unfil.,Selección LBV Unfil.,864,1,BAJA,
Haus Klosterberg Riesling2024QW,Haus Klosterberg Riesling2024QW,865,1,BAJA,
Urziger Wurzgarten2022S,Urziger Wurzgarten2022S,866,1,BAJA,
BELONDRADE,BELONDRADE,867,1,BAJA,
R AMÓN BILBAO,R AMÓN BILBAO,868,1,BAJA,
S. DE SOBRAL,S. DE SOBRAL,869,1,BAJA,
Vieux Château Certan 2023 - Pommerol,Vieux Château Certan 2023 - Pommerol,870,1,BAJA,
Château Margaux 2023 - Margaux,Château Margaux 2023 - Margaux,871,1,BAJA,
Clos Adrien,Clos Adrien,872,1,BAJA,
Gg,Gg,873,1,BAJA,TRUE
Clos Adèle,Clos Adèle,874,1,BAJA,
Clos Amae,Clos Amae,875,1,BAJA,
Bodegas Ismael Arroyo,Bodegas Ismael Arroyo,876,1,BAJA,
Emilio Moro,Emilio Moro,877,1,BAJA,
Alonso del Yerro,Alonso del Yerro,878,1,BAJA,
Camille Hommage Charmonts,Camille Hommage Charmonts,879,1,BAJA,
Château Gazin 2023 - Pommerol,Château Gazin 2023 - Pommerol,880,1,BAJA,
Château Calon Ségur 2023 - Saint-Estèphe,Château Calon Ségur 2023 - Saint-Estèphe,881,1,BAJA,
Château Lafite-Rothschild 2023 - Pauillac,Château Lafite-Rothschild 2023 - Pauillac,882,1,BAJA,
Comando G,Comando G,883,1,BAJA,
Laherte Freres,Laherte Freres,884,1,BAJA,
Château Léoville Barton 2023 - Saint - Julien,Château Léoville Barton 2023 - Saint - Julien,885,1,BAJA,
Château Clos Fourtet- Saint-Emilion,Château Clos Fourtet- Saint-Emilion,886,1,BAJA,
Château Fonroque- Saint-Emilion,Château Fonroque- Saint-Emilion,887,1,BAJA,
Château L'If- Saint-Emilion,Château L'If- Saint-Emilion,888,1,BAJA,
Domaine Vacheron,Domaine Vacheron,889,1,BAJA,
Villages,Villages,890,1,BAJA,
Mathias Barralon,Mathias Barralon,891,1,BAJA,
Casa Vinícola Molinás,Casa Vinícola Molinás,892,1,BAJA,
Melida Wines,Melida Wines,893,1,BAJA,
Valeyo,Valeyo,894,1,BAJA,
Tenuta di Carleone - Chianti,Tenuta di Carleone - Chianti,895,1,BAJA,
Wine & Soul,Wine & Soul,896,1,BAJA,
Cloudy Bay,Cloudy Bay,897,1,BAJA,
Opus One,Opus One,898,1,BAJA,
Volcán Blanco,Volcán Blanco,899,1,BAJA,
Volcán Reposado,Volcán Reposado,900,1,BAJA,
Volcán Cristalino,Volcán Cristalino,901,1,BAJA,
Elena Pacheco - Isio Ramos,Elena Pacheco - Isio Ramos,902,1,BAJA,
BOTTER,BOTTER,903,1,BAJA,
C.TAURINO,C.TAURINO,904,1,BAJA,
Ch. Trotanoy,Ch. Trotanoy,905,1,BAJA,
Saint-Bris Sauvignon,Saint-Bris Sauvignon,906,1,BAJA,
PAGOS DE ARIAZ,PAGOS DE ARIAZ,907,1,BAJA,
Margaux du Ch. Margaux,Margaux du Ch. Margaux,908,1,BAJA,
Chateau de Beru,Chateau de Beru,909,1,BAJA,
D,D,910,1,BAJA,TRUE
CHIARLO,CHIARLO,911,1,BAJA,
DOMAINE ANNE FRANÇOISE GROSS,DOMAINE ANNE FRANÇOISE GROSS,912,1,BAJA,
Juan Bernal,Juan Bernal,913,1,BAJA,
MUSTIGUILLO,MUSTIGUILLO,914,1,BAJA,
COSECHEROS Y CRIADORES,COSECHEROS Y CRIADORES,915,1,BAJA,
7 MONOS VITICULTORES,7 MONOS VITICULTORES,916,1,BAJA,
Chateau de Beauregard,Chateau de Beauregard,917,1,BAJA,
VALVERAN,VALVERAN,918,1,BAJA,
SUERTES DEL MARQUÉS,SUERTES DEL MARQUÉS,919,1,BAJA,
DOMAINE DES CLOS MAURICE,DOMAINE DES CLOS MAURICE,920,1,BAJA,
La Paul,La Paul,921,1,BAJA,
Tan Natural,Tan Natural,922,1,BAJA,
CHÂTEAU GRAND ROUSSEAU,CHÂTEAU GRAND ROUSSEAU,923,1,BAJA,
Pascal et Nicolas Reverdy,Pascal et Nicolas Reverdy,924,1,BAJA,
Dry Furmint Inspiration,Dry Furmint Inspiration,925,1,BAJA,
Sor,Sor,926,1,BAJA,
Idda,Idda,927,1,BAJA,
Vermut,Vermut,928,1,BAJA,
Portos del Douro,Portos del Douro,929,1,BAJA,
Quinta de Ervamoira,Quinta de Ervamoira,930,1,BAJA,
Chablis Bio,Chablis Bio,931,1,BAJA,
Pedro Ximénez,Pedro Ximénez,932,1,BAJA,
Vermut Blanco,Vermut Blanco,933,1,BAJA,
Ch. Doisy-Vedrines20202º,Ch. Doisy-Vedrines20202º,934,1,BAJA,
Pinot Gris Grains Nobles,Pinot Gris Grains Nobles,935,1,BAJA,
Pinot Noir Comtes d',Pinot Noir Comtes d',936,1,BAJA,
Romanée-Saint Vivant Les Quatre,Romanée-Saint Vivant Les Quatre,937,1,BAJA,
Chambertin Cuvée Héritiers Latour2002G.,Chambertin Cuvée Héritiers Latour2002G.,938,1,BAJA,
Lady,Lady,939,1,BAJA,
Ch. Laribotte,Ch. Laribotte,940,1,BAJA,
MUSA DOMAINE,MUSA DOMAINE,941,1,BAJA,
Ladoucette Pouilly Fumé,Ladoucette Pouilly Fumé,942,1,BAJA,
Pauillac De Pichon Baron,Pauillac De Pichon Baron,943,1,BAJA,
Comte Lafond Réserve,Comte Lafond Réserve,944,1,BAJA,
XO Signature Pot Gascon,XO Signature Pot Gascon,945,1,BAJA,
Dartigalongue Réserve XO,Dartigalongue Réserve XO,946,1,BAJA,
DOMAINE FONDRECHE,DOMAINE FONDRECHE,947,1,BAJA,
DOMAINE MOREY-COFFINET,DOMAINE MOREY-COFFINET,948,1,BAJA,
DOMAINE DES MONTS LUISANTS,DOMAINE DES MONTS LUISANTS,949,1,BAJA,
CHATEAU MONTUS,CHATEAU MONTUS,950,1,BAJA,
