valor_original,propuesta_canonica,grupo_id,apariciones,confianza,DUDOSO
DOMINIO DE CALOGIA,DOMINIO DE CALOGÍA,136,6,ALTA,
DOMAINE XAVIER GÉRARD,DOMAINE XAVIER GÉRARD,137,15,MEDIA,
FEUDO MONTONI,FEUDO MONTONI,138,15,MEDIA,
Rodriguez Sanzo,Rodriguez Sanzo,139,15,MEDIA,
FERNANDO DE CASTILLA,FERNANDO DE CASTILLA,140,15,MEDIA,
Joan Asens,Joan Asens,141,15,MEDIA,
Chavy-Chouet Meursault,Chavy-Chouet Meursault,142,15,MEDIA,
OREMUS,OREMUS,143,15,MEDIA,
FINCA ANTIGUA,FINCA ANTIGUA,144,15,MEDIA,
Matias Riccitelli,Matias Riccitelli,145,15,MEDIA,
DOMINIO DE PINGUS,DOMINIO DE PINGUS,146,15,MEDIA,
Paul Fumoso - Domaine du Gour de Chaulé,Paul Fumoso - Domaine du Gour de Chaulé,147,15,MEDIA,
FIGUIÈRE,FIGUIÈRE,148,15,MEDIA,
PONCE,PONCE,149,12,ALTA,
Bodegas Ponce,PONCE,149,3,ALTA,
Viñedos Verticales,Viñedos Verticales,150,9,ALTA,
VIÑEDOS VERTICALES,Viñedos Verticales,150,6,ALTA,
SOLTERRA,SOLTERRA,151,14,MEDIA,
Domaine Jean Claude Rateau,Domaine Jean Claude Rateau,152,14,MEDIA,
BARBADILLO,BARBADILLO,153,14,MEDIA,
S. DEL MARQUÉS,S. DEL MARQUÉS,154,14,MEDIA,
Domaine Danjou-Banessy,Domaine Danjou-Banessy,155,14,MEDIA,
CHAMPAGNE EGLY OURIET*,CHAMPAGNE EGLY OURIET*,156,14,MEDIA,
Dominio de Atauta,Dominio de Atauta,157,14,MEDIA,
PUJANZA,PUJANZA,158,11,ALTA,
Pujanza,PUJANZA,158,3,ALTA,
IBIZKUS,IBIZKUS,159,13,MEDIA,
Celler Pardas,Celler Pardas,160,13,MEDIA,
BODEGAS LA HORRA,BODEGAS LA HORRA,161,13,MEDIA,
REMY MASSIN,REMY MASSIN,162,13,MEDIA,
HENRI GIRAUD,HENRI GIRAUD,163,13,MEDIA,
Domaine Fabien Coche,Domaine Fabien Coche,164,13,MEDIA,
ITSASMENDI,ITSASMENDI,165,13,MEDIA,
LÉON BEYER,LÉON BEYER,166,13,MEDIA,
